recipient_code,ldc_group,income_group,region
630,Other Developing Countries,Lower middle income,South & Central Asia
635,Least Developed Countries,Lower middle income,South & Central Asia
640,Other Developing Countries,Upper middle income,South & Central Asia
645,Other Developing Countries,Lower middle income,South & Central Asia
655,Other Developing Countries,Upper middle income,South & Central Asia
660,Least Developed Countries,Lower middle income,South & Central Asia
665,Other Developing Countries,Lower middle income,South & Central Asia
666,Least Developed Countries,Lower middle income,South & Central Asia
679,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South & Central Asia
689,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South & Central Asia
725,Other Developing Countries,High income,Far East Asia
728,Least Developed Countries,Lower middle income,Far East Asia
730,Other Developing Countries,Upper middle income,Far East Asia
738,Other Developing Countries,Upper middle income,Far East Asia
740,Other Developing Countries,Low income,Far East Asia
745,Least Developed Countries,Lower middle income,Far East Asia
751,Other Developing Countries,Upper middle income,Far East Asia
753,Other Developing Countries,Upper middle income,Far East Asia
755,Other Developing Countries,Upper middle income,Far East Asia
764,Other Developing Countries,Upper middle income,Far East Asia
765,Least Developed Countries,Lower middle income,Far East Asia
769,Other Developing Countries,Upper middle income,Far East Asia
789,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Far East Asia
798,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Asia
831,Other Developing Countries,Unclassified,Oceania
832,Other Developing Countries,Upper middle income,Oceania
836,Least Developed Countries,Lower middle income,Oceania
845,Other Developing Countries,High income,Oceania
854,Other Developing Countries,Lower middle income,Oceania
856,Other Developing Countries,Unclassified,Oceania
859,Other Developing Countries,Upper middle income,Oceania
860,Other Developing Countries,Upper middle income,Oceania
861,Other Developing Countries,High income,Oceania
862,Other Developing Countries,Lower middle income,Oceania
866,Least Developed Countries,Lower middle income,Oceania
868,Other Developing Countries,Unclassified,Oceania
870,Other Developing Countries,Upper middle income,Oceania
872,Least Developed Countries,Upper middle income,Oceania
876,Other Developing Countries,Unclassified,Oceania
880,Other Developing Countries,Upper middle income,Oceania
889,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Oceania
998,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,"Developing countries, unspecified"
999,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Global
1027,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South of Sahara
1028,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South of Sahara
1029,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South of Sahara
1030,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,South of Sahara
1031,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Caribbean & Central America
1032,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Caribbean & Central America
1033,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Oceania
1034,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Oceania
1035,Regional / Multi-country Unallocated,Regional / Multi-country Unallocated,Oceania
